Months,Rearrest,Readjudicate,Reconvict,Reincarcerate,Reimprison
1,9.30%,2.30%,1.70%,1.50%,0.70%
2,15.20%,4.70%,3.50%,2.90%,1.50%
3,20.70%,7.30%,5.40%,4.70%,2.40%
4,25.70%,10.00%,7.30%,6.20%,3.20%
5,30.20%,12.60%,9.40%,8.10%,4.40%
6,33.90%,16.30%,12.40%,10.50%,6.10%
7,37.30%,19.30%,14.80%,12.60%,7.20%
8,40.00%,21.80%,16.90%,14.30%,8.50%
9,42.30%,24.20%,19.00%,16.20%,9.60%
10,44.90%,26.40%,20.90%,18.00%,10.70%
11,47.20%,28.50%,22.60%,19.30%,11.70%
12,49.20%,30.80%,24.40%,20.90%,12.70%
13,50.80%,32.70%,26.10%,22.30%,13.60%
14,52.50%,34.40%,27.50%,23.60%,14.40%
15,54.10%,36.20%,29.00%,24.80%,15.30%
16,55.80%,38.10%,30.80%,26.40%,16.20%
17,57.10%,39.60%,32.20%,27.60%,17.10%
18,58.70%,41.10%,33.50%,29.00%,17.90%
19,60.30%,42.90%,35.30%,30.30%,18.90%
20,61.50%,44.30%,36.60%,31.40%,19.60%
21,62.60%,45.50%,37.80%,32.30%,20.50%
22,63.60%,46.60%,38.60%,33.00%,21.20%
23,64.50%,47.90%,39.80%,34.20%,21.90%
24,65.50%,49.30%,41.10%,35.30%,22.70%
25,66.30%,50.50%,42.30%,36.50%,23.70%
26,67.10%,51.60%,43.40%,37.40%,24.50%
27,68.10%,52.50%,44.40%,38.30%,25.20%
28,68.90%,53.60%,45.30%,39.10%,25.70%
29,69.70%,54.50%,46.20%,39.90%,26.30%
30,70.20%,55.60%,47.30%,40.80%,27.10%
31,71.00%,56.50%,48.30%,41.80%,27.70%
32,71.70%,57.60%,49.40%,42.70%,28.40%
33,72.40%,58.60%,50.10%,43.30%,29.00%
34,73.10%,59.40%,50.90%,44.00%,29.60%
35,73.60%,60.20%,51.70%,44.70%,30.30%
36,74.00%,60.80%,52.30%,45.20%,30.70%
