Months,Rearrest,Readjudicate,Reconvict,Reincarcerate,Reimprison
1,9.40%,0.20%,0.20%,0.20%,0.00%
2,13.30%,1.50%,0.50%,0.20%,0.00%
3,18.30%,5.60%,4.50%,3.50%,1.80%
4,21.30%,7.70%,5.90%,4.40%,2.80%
5,25.20%,9.50%,7.90%,6.00%,4.00%
6,29.10%,13.80%,11.70%,8.80%,6.60%
7,32.10%,17.10%,14.00%,10.40%,8.30%
8,34.60%,19.80%,16.80%,12.40%,9.70%
9,37.90%,22.00%,19.00%,13.80%,10.20%
10,38.80%,24.30%,20.80%,15.10%,11.40%
11,40.90%,25.90%,22.40%,16.20%,12.10%
12,42.60%,29.70%,26.20%,18.90%,13.10%
13,44.00%,31.40%,27.70%,20.20%,14.10%
14,44.60%,32.50%,28.80%,20.50%,14.20%
15,46.90%,33.50%,29.70%,21.60%,14.90%
16,49.10%,35.10%,31.90%,24.20%,16.40%
17,50.00%,37.00%,33.90%,24.30%,16.50%
18,50.60%,38.10%,34.50%,25.00%,16.70%
19,51.30%,39.10%,35.40%,25.80%,17.50%
20,52.30%,39.60%,36.00%,26.60%,17.90%
21,53.60%,40.20%,36.70%,27.10%,18.40%
22,54.40%,40.70%,37.10%,27.50%,18.80%
23,55.10%,41.20%,38.20%,28.60%,19.70%
24,56.60%,41.70%,38.70%,29.20%,20.20%
25,57.20%,44.10%,41.20%,30.60%,20.50%
26,58.00%,44.60%,41.70%,31.20%,20.80%
27,58.30%,45.20%,42.20%,31.70%,21.40%
28,59.50%,45.90%,42.90%,32.50%,21.90%
29,59.50%,46.50%,43.40%,32.80%,22.00%
30,60.70%,47.60%,44.40%,33.80%,22.70%
31,60.80%,48.10%,45.20%,34.50%,22.70%
32,61.70%,49.40%,46.40%,35.70%,23.90%
33,62.50%,49.70%,46.60%,35.80%,23.90%
34,63.40%,50.90%,47.90%,36.80%,24.80%
35,63.90%,51.60%,48.40%,37.20%,25.20%
36,64.70%,51.90%,48.70%,37.20%,25.20%
