Months,Rearrest,Readjudicate,Reconvict,Reincarcerate,Reimprison
1,8.80%,1.00%,0.80%,0.70%,0.30%
2,13.10%,2.60%,2.00%,1.50%,0.80%
3,17.20%,4.40%,3.70%,2.90%,1.60%
4,21.20%,6.50%,5.40%,4.10%,2.40%
5,24.50%,8.60%,7.30%,5.50%,3.30%
6,27.50%,11.30%,9.60%,7.20%,4.60%
7,30.40%,13.60%,11.40%,8.60%,5.70%
8,33.00%,16.30%,13.70%,10.40%,6.60%
9,35.60%,18.30%,15.40%,11.70%,7.50%
10,37.50%,20.10%,16.90%,13.00%,8.30%
11,39.50%,22.00%,18.60%,14.10%,9.10%
12,41.40%,23.90%,20.40%,15.40%,9.80%
13,43.00%,25.70%,21.90%,16.60%,10.70%
14,44.60%,27.40%,23.30%,17.70%,11.50%
15,46.10%,28.80%,24.60%,18.90%,12.40%
16,47.50%,30.60%,26.20%,20.10%,13.20%
17,48.60%,32.00%,27.50%,21.00%,13.70%
18,49.90%,33.40%,28.70%,21.90%,14.30%
19,50.80%,34.30%,29.70%,22.70%,14.80%
20,51.80%,35.60%,30.70%,23.70%,15.50%
21,52.70%,36.60%,31.60%,24.50%,16.00%
22,53.70%,37.60%,32.60%,25.20%,16.50%
23,54.60%,38.60%,33.70%,26.20%,17.30%
24,55.50%,39.50%,34.60%,27.00%,17.90%
25,56.60%,41.00%,36.00%,28.00%,18.80%
26,57.50%,41.80%,36.70%,28.70%,19.20%
27,58.40%,42.60%,37.40%,29.30%,19.70%
28,59.00%,43.10%,38.00%,29.90%,20.10%
29,59.60%,44.10%,39.00%,30.70%,20.70%
30,60.30%,44.90%,39.80%,31.50%,21.10%
31,60.90%,45.80%,40.70%,32.20%,21.60%
32,61.50%,46.70%,41.60%,32.90%,22.10%
33,62.00%,47.30%,42.30%,33.50%,22.50%
34,62.70%,48.10%,43.00%,34.20%,23.10%
35,63.20%,49.00%,43.70%,34.70%,23.40%
36,63.70%,49.60%,44.20%,35.00%,23.80%
